name,base_element,sheet_name,label,structure,pure_label,material type,ductile_or_brittle,Grady_ductile_median,Grady_ductile_lower,Grady_ductile_higher,Grady_brittle_lower,Grady_brittle_higher,Grady_brittle_ave,GPR_production,GPR_error,test or train,spall_min,spall_max,spall_median,spall_mean,,spall data type,spall_stdev,uts_min,uts_max,uts_median,uts_mean,uts_calc,yield_min,yield_max,yield_median,yield_mean,yield_calc,comp_min,comp_max,comp_median,comp_mean,comp_calc,bulk_min,bulk_max,bulk_median,bulk_mean,bulk_calc,shear_min,shear_max,shear_median,shear_mean,shear_calc,young_min,young_max,young_median,young_mean,young_calc,dens_min,dens_max,dens_median,dens_mean,dens_calc,hard_min,hard_max,hard_median,hard_mean,hard_calc,frac_min,frac_max,frac_median,frac_mean,frac_calc
Dual Phase Steel 590,Fe,DP590,DP-590,,,alloy,ductile,4.8,4.52,5.06,N/A,N/A,N/A,2.8390053,1.184727,train,2.95,2.95,2.95,2.95,single point,alloy - single point,0,590,621,602,604.33,no,350,437,393.5,393.5,no,445,445,445,445,no,195,195,195,195,no,87.5,87.5,87.5,87.5,no,228,228,228,228,no,7.82,7.82,7.82,7.82,no,127,127,127,127,no,160,200,180,180,no
Duplex SS 2205,Fe,DSS2205,Duplex 2205,,,alloy,ductile,4.71,4.65,4.96,N/A,N/A,N/A,3.6440715,1.120808,train,4.9,5,4.9,4.93,varies by impact condition,alloy - varies by impact condition,0.06,621,621,621,621,no,448,510,460,472.67,no,520,520,520,520,no,161,161,161,161,yes,78.54,78.54,78.54,78.54,yes,190,205,195,196.67,no,7.82,7.85,7.84,7.84,no,310,310,310,310,no,144,195,169.5,170,no
Lean Duplex SS 2101,Fe,LDX2101,LDX 2101,,,alloy,ductile,4.9,4.74,5.15,N/A,N/A,N/A,3.3577186,1.05253,train,2.3,3.5,2.6,2.75,varies by source,alloy - varies by source,0.54,650,700,694,684,no,450,530,480,483.6,no,505.2,552.7,528.95,528.95,no,166.67,166.67,166.67,166.67,yes,76.92,76.92,76.92,76.92,yes,200,200,200,200,no,7.7,7.7,7.7,7.7,no,256,355,305.5,305.5,no,100,100,100,100,no
SS 304,Fe,SS304,SS 304,,,alloy,ductile,3.21,3.12,3.3,N/A,N/A,N/A,2.0618693,0.867497,train,2.13,2.5,2.32,2.3,varies by source,alloy - varies by source,0.11,505,620,510,545,no,215,241,228,228,no,205,310,257.5,257.5,no,134,164,151,149.67,no,74,81,75.5,76.5,no,190,203,192.95,194.73,no,7.85,8.06,7.93,7.95,no,129,129,129,129,no,119,228,173.5,174,no
SS 316L,Fe,SS316_L,SS 316-L,,,alloy,ductile,3.29,3.16,3.41,N/A,N/A,N/A,2.3150192,0.973525,train,2.57,2.58,2.58,2.58,varies by impact condition,alloy - varies by impact condition,0.01,515,515,515,515,no,205,238,221.5,221.5,no,170,170,170,170,no,160.8,164,162.4,162.4,no,74.2,80,77.1,77.1,no,193,199,196,196,no,7.96,8,7.99,7.98,no,155,155,155,155,no,112,278,195,195,no
SS 2169,Fe,SS2169,SS 2169,,,alloy,ductile,4.15,3.98,4.5,N/A,N/A,N/A,4.4744694,1.505388,train,5.25,7.32,5.77,5.93,varies by source,alloy - varies by source,0.6,698.4,737.7,717.39,717.72,no,346.8,442.6,376.11,385.4,no,689,689,689,689,no,148.38,154.55,152.57,152.02,yes,76.74,78.44,77.19,77.39,yes,196.72,200.76,198.23,198.48,yes,7.75,7.82,7.78,7.78,no,180,180,180,180,no,309.76,309.76,309.76,310,no
Magnesium,Mg,Mg,Mg,hcp,Mg - hcp,metal,brittle,N/A,N/A,N/A,0.45,0.96,0.71,1.0022405,0.97977,train,0.8,0.9,0.85,0.85,varies by impact condition,metal - varies by impact condition,0.07,90,176,133,133,no,21,21,21,21,no,21,21,21,21,no,49.22,49.22,49.22,49.22,yes,34.2,34.2,34.2,34.2,no,44.3,44.3,44.3,44.3,no,1.74,1.74,1.74,1.74,no,37.5,37.5,37.5,37.5,no,12.7,12.7,12.7,13,no
AMX 602,Mg,AMX602,Mg AMX-602,,,alloy,ductile,1.76,1.76,1.76,N/A,N/A,N/A,0.8345738,1.037358,train,1.01,1.01,1.01,1.01,single point,alloy - single point,0.13,369,369,369,369,no,305,305,305,305,no,305,305,305,305,no,33.74,33.74,33.74,33.74,no,18.73,18.73,18.73,18.73,no,47.41,47.41,47.41,47.41,no,1.81,1.81,1.81,1.81,no,103,103,103,103,no,40.3,40.3,40.3,40,no
Magnesium AZ31B-H24,Mg,Mg_AZ31B_H24,Mg AZ31B-H24,,,alloy,brittle,N/A,N/A,N/A,0.4,0.87,0.64,0.92806,1.052061,train,1.5,1.5,1.5,1.5,single point,alloy - single point,0,170.35,170.35,170.35,170.35,no,220,220,220,220,no,230,230,230,230,no,36.7,36.7,36.7,36.7,no,16.5,16.5,16.5,16.5,no,42.9,45,43.95,43.95,no,1.78,1.78,1.78,1.78,no,70,70,70,70,no,11.7,11.7,11.7,12,no
Magnesium AZ31B-4E,Mg,Mg_AZ31B_4E,Mg AZ31B-4E,,,alloy,brittle,N/A,N/A,N/A,0.56,1.22,0.89,0.8702522,0.899349,train,0.88,0.92,0.9,0.9,varies by impact condition,alloy - varies by impact condition,0.02,221,260,240.5,240.5,no,103,200,151.5,151.5,no,97,97,97,97,no,37.87,37.87,37.87,37.87,no,16.66,17,16.83,16.83,no,43.6,45,44.3,44.3,no,1.77,1.77,1.77,1.77,no,49,49,49,49,no,17.6,20.7,19.15,19,no
Molybdenum,Mo,Mo,Mo,bcc,Mo - bcc,metal,brittle,N/A,N/A,N/A,1.42,3.05,2.23,1.0144533,1.70493,train,0.48,0.64,0.55,0.56,varies by impact condition,metal - varies by impact condition,0.08,324,380,352,352,no,446,446,446,446,no,170,400,285,285,no,250,280,272,267.33,no,120,134,120,124.67,no,315,380,336.5,342,no,10.1,10.3,10.19,10.19,no,230,230,230,230,no,20,40,30,30,no
Niobium,Nb,Nb,Nb,bcc,Nb - bcc,metal,ductile,4.21,3.24,4.99,N/A,N/A,N/A,3.4174473,1.225198,train,3.57,4.42,3.92,3.96,varies by impact condition,metal - varies by impact condition,0.4,268,300,284,284,no,207,491,349,349,no,493,493,493,493,no,169,169,169,169,no,37.5,58.9,48.2,48.2,no,103,103,103,103,no,8.56,8.6,8.58,8.58,no,80,80,80,80,no,45.5,45.5,45.5,46,no
Nickel,Ni,Ni,Ni,fcc,Ni - fcc,metal,ductile,1.99,1.85,2.13,N/A,N/A,N/A,1.2660154,1.16524,train,0.26,0.59,0.5,0.48,varies by source,metal - varies by source,0.11,317,392,345,351.33,no,59,78,68.5,68.5,no,70,70,70,70,no,162,200,193.6,185.2,no,72,86,76,77.86,no,190,220,201.5,203.25,no,8.83,8.95,8.9,8.89,no,65.06,65.06,65.06,65.06,no,100,150,125,125,no
Ni3Al,Ni,Ni3Al,$\mathrm{Ni_{3}Al}$,,,alloy,brittle,N/A,N/A,N/A,1.2,2.59,1.89,1.6095188,1.460735,train,0.37,0.67,0.44,0.49,varies by impact condition,alloy - varies by impact condition,0.16,842,842,842,842,no,188,188,188,188,no,198,198,198,198,no,173.9,188,180.95,180.95,no,74.4,77.8,76.1,76.1,no,203.1,203.1,203.1,203.1,no,7.4,7.4,7.4,7.4,no,382,382,382,382,no,28.1,28.1,28.1,28,no
Ni-60Co,Ni,Ni_60Co,Ni-60Co,,,alloy,ductile,3.02,3.02,3.02,N/A,N/A,N/A,1.6999463,0.892603,train,0.22,1.23,0.69,0.7,varies by source,alloy - varies by source,0.34,543,543,543,543,yes,162.4,162.4,162.4,162.4,yes,440.2,440.2,440.2,440.2,yes,187.2,187.2,187.2,187.2,no,81.1,81.1,81.1,81.1,no,212.6,212.6,212.6,212.6,yes,8.78,8.78,8.78,8.78,no,177.82,177.82,177.82,177.82,yes,131,131,131,131,yes
Inconel625,Ni,Inconel625,Inconel 625,,,alloy,ductile,5.58,5.51,5.64,N/A,N/A,N/A,3.6150685,1.527646,test,3.1,4.4,3.7,3.62,varies by impact condition,alloy - varies by impact condition,0.37,880,958.41,919.2,919.2,no,460,481.96,470.98,470.98,no,427,493.68,460.34,460.34,no,218.94,221.78,220.36,220.36,yes,56.85,75.02,65.93,65.93,yes,195.82,195.82,195.82,195.82,no,8.41,8.62,8.44,8.49,no,474.9,574.1,524.5,524.5,no,173.8,173.8,173.8,174,no
Ni 55 Ti 44,Ni,NiTi,NiTi,,,alloy,ductile,4.48,4.48,4.48,N/A,N/A,N/A,2.8907954,1.493547,train,2.53,2.75,2.71,2.66,varies by impact condition,alloy - varies by impact condition,0.1,306.5,306.5,306.5,306.5,yes,422,422,422,422,no,548,548,548,548,no,158.55,158.55,158.55,158.55,yes,21.97,21.97,21.97,21.97,yes,63.01,63.01,63.01,63.01,yes,6.49,6.49,6.49,6.49,no,62.53,62.53,62.53,62.53,yes,91.25,91.25,91.25,91,yes
Tantalum,Ta,Ta,Ta,bcc,Ta - bcc,metal,ductile,2.52,2.52,2.52,N/A,N/A,N/A,3.8782894,1.620967,train,4.4,5.2,4.77,4.78,varies by source,metal - varies by source,0.33,170,450,257.5,283.75,no,103,103,103,103,no,135,135,135,135,no,182,228,205,205,no,64,72,68.85,68.43,no,175,190,186,183.67,no,16.44,16.7,16.5,16.55,no,100,100,100,100,no,90,150,120,120,no
Titanium,Ti,Ti,Ti,hcp,Ti - hcp,metal,ductile,2.19,2.16,2.21,N/A,N/A,N/A,1.9477622,1.082231,train,2.1,3.9,3.6,3.31,varies by source,metal - varies by source,0.62,220,316,268,268,no,140,147,143.5,143.5,no,130,170,150,150,no,107,135,111,117.67,no,36,48.6,39,40.92,no,100,127,105,110.4,no,4.5,4.53,4.51,4.51,no,60,60,60,60,no,55,60,57.5,58,no
gamma TiAl,Ti,gamma_TiAl,$\gamma$-TiAl,,,alloy,brittle,N/A,N/A,N/A,0.66,1.41,1.04,2.5796733,1.518478,train,1.73,1.94,1.77,1.8,varies by impact condition,alloy - varies by impact condition,0.09,1193,1193,1193,1193,no,1011,1011,1011,1011,no,1100,1100,1100,1100,no,125.83,125.83,125.83,125.83,yes,67.73,67.73,67.73,67.73,yes,172.28,172.28,172.28,172.28,yes,3.99,3.99,3.99,3.99,no,431,431,431,431,no,14.5,14.5,14.5,15,no
Ti-10V-2Fe-3Al,Ti,Ti_1023,Ti-1023,,,alloy,ductile,6.18,6.18,6.18,N/A,N/A,N/A,3.1450343,1.636146,train,2.51,3.13,3.12,2.92,varies by impact condition,alloy - varies by impact condition,0.36,1307,1307,1307,1307,no,1190,1190,1190,1190,no,1160,1160,1160,1160,no,107.08,107.08,107.08,107.08,yes,34.7,34.7,34.7,34.7,yes,94,94,94,94,no,4.59,4.59,4.59,4.59,no,450,450,450,450,no,46.8,46.8,46.8,47,no
Ti-6Al-4V,Ti,Ti64,Ti-6Al-4V,,,alloy,ductile,5.11,3.94,5.46,N/A,N/A,N/A,3.4416264,1.253586,train,3.3,4.9,4.2,4.08,varies by source,alloy - varies by source,0.64,987,1021,1004,1004,no,483,928,812,758.75,no,790,790,790,790,no,107,107,107,107,no,48.6,48.6,48.6,48.6,no,114,127,120.5,120.5,no,4.43,4.53,4.48,4.48,no,340,340,340,340,no,47.9,48,47.95,48,no
Uranium,U,U,U,sc,U - sc,metal,ductile,2.51,2.35,2.65,N/A,N/A,N/A,2.6574034,1.700331,train,2.4,2.4,2.4,2.4,single point,metal - single point,0.1,380,412,400,397.33,no,200,255,227.5,227.5,no,190,345,267.5,267.5,no,88,110,92,96.67,no,70,111,77.9,84.58,no,174,208,184,187.5,no,18.9,19.07,19.05,19.02,no,190,190,190,190,no,110,150,130,130,no
Vanadium,V,V,V,bcc,V - bcc,metal,brittle,N/A,N/A,N/A,1.36,2.94,2.15,3.8710641,1.174513,train,4.4,4.83,4.4,4.54,varies by impact condition,metal - varies by impact condition,0.25,343,536,439.5,439.5,no,368,454,411,411,no,295,295,295,295,no,163.31,163.31,163.31,163.31,yes,46.4,54,50.2,50.2,no,147,147,147,147,no,6.11,6.11,6.11,6.11,no,159,159,159,159,no,36.6,36.6,36.6,37,no
Tungsten,W,W,W,bcc,W - bcc,metal,ductile,8.36,8.36,8.36,N/A,N/A,N/A,1.4399924,1.715026,train,0.7,1.29,1.1,1.03,varies by source,metal - varies by source,0.3,980,1670,1325,1325,no,750,750,750,750,no,1350,1350,1350,1350,no,246,322,310.5,297.25,no,130,161,158,152.67,no,340,526,406,433.5,no,19.23,19.35,19.25,19.27,no,310,310,310,310,no,120,150,135,135,no
Tungsten heavy alloy (WHA),W,WHA,WHA,,,alloy,ductile,8.87,8.38,9.34,N/A,N/A,N/A,3.161645,1.442032,train,3.63,3.63,3.63,3.63,single point,alloy - single point,0,1036.32,1036.32,1036.32,1036.32,no,827.4,1028.73,928.07,928.07,no,1151,1151,1151,1151,no,282.64,282.64,282.64,282.64,yes,133.59,133.59,133.59,133.59,yes,346.8,358.5,352.65,352.65,no,17.04,18.5,17.77,17.77,no,270,360,310,313.33,no,41,41,41,41,no
90W-7Ni-3Fe,W,WNiFe,$\mathrm{W_{90}Ni_{7}Fe_{3}}$,,,alloy,ductile,8.9,8.85,8.95,N/A,N/A,N/A,3.5263219,1.749089,train,3.8,3.8,3.8,3.8,single point,alloy - single point,0,861.84,914,887.92,887.92,no,593,606.74,599.87,599.87,no,1320,1320,1320,1320,no,440.46,440.46,440.46,440.46,yes,134,134,134,134,no,310.26,345,327.63,327.63,no,17,17.14,17.07,17.07,no,250,272,261,261,no,97,97,97,97,no
ZrE110,Zr,ZrE110,Zr E110,,,alloy,brittle,N/A,N/A,N/A,0.27,0.58,0.43,3.0229122,1.776581,train,2.56,4.43,3.12,3.24,varies by impact condition,alloy - varies by impact condition,0.54,270,310,290,290,no,160,160,160,160,no,292,292,292,292,no,99.24,99.24,99.24,99.24,yes,33.26,33.26,33.26,33.26,yes,95,95,95,95,no,6.5,6.6,6.55,6.55,no,1500,1700,1600,1600,no,3.6,3.6,3.6,4,no
HfZrTiTa0.53,HEA,HfZrTiTa0.53,HfZrTiTa0.53,,,alloy,ductile,5.05,5.05,5.05,N/A,N/A,N/A,3.3879339,1.657276,validation,2.76,3.72,3.24,,,,,,,1110,1110,,774,774,774,774,,1300,1300,1300,1300,,109.83,109.83,109.83,109.83,,24.99,24.99,24.99,24.99,,69.67,69.67,69.67,69.67,,9.36,9.36,9.36,9.36,,372,372,372,372,,62,62,62,,
Ti_5553,Ti,Ti_5553,Ti_-5553,,,alloy,brittle,N/A,N/A,N/A,1.1,2.38,1.74,3.3567853,1.365507,validation,3.03,4.46,3.72,,,,,,,768.6,768.6,,768.1,768.1,768.1,768.1,,1138,1138,1138,1138,,81.99,81.99,81.99,81.99,,42.55,42.55,42.55,42.55,,108.83,108.83,108.83,108.83,,4.64,4.64,4.64,4.64,,413,413,413,413,,33.6,37.3,33.9,,
93W,W,93WHA,93WHA,,,alloy,ductile,8.86,8.86,8.86,N/A,N/A,N/A,2.8157123,1.417045,validation,2.4,2.73,2.59,,,,,,,1241.06,1241.06,,920,920,920,920,,1450,1450,1450,1450,,284.64,284.64,284.64,284.64,,143.24,143.24,143.24,143.24,,367.99,367.99,367.99,367.99,,17.61,17.61,17.61,17.61,,295,295,295,295,,41,41,41,,
