name,base_element,sheet_name,label,structure,pure_label,material type,ductile_or_brittle,Grady_ductile_median,Grady_ductile_lower,Grady_ductile_higher,Grady_brittle_lower,Grady_brittle_higher,Grady_brittle_ave,GPR_production,GPR_error,test or train,spall_min,spall_max,spall_median,spall_mean,,spall data type,spall_stdev,uts_min,uts_max,uts_median,uts_mean,uts_calc,yield_min,yield_max,yield_median,yield_mean,yield_calc,comp_min,comp_max,comp_median,comp_mean,comp_calc,bulk_min,bulk_max,bulk_median,bulk_mean,bulk_calc,shear_min,shear_max,shear_median,shear_mean,shear_calc,young_min,young_max,young_median,young_mean,young_calc,dens_min,dens_max,dens_median,dens_mean,dens_calc,hard_min,hard_max,hard_median,hard_mean,hard_calc,frac_min,frac_max,frac_median,frac_mean,frac_calc
Aluminum 5083-H116,Al,Al5083_H116,Al 5083-H116,,,alloy,ductile,2.12,2.12,2.12,N/A,N/A,N/A,1.3607129,0.88593,train,0.81,1.6,0.89,1,varies by source,alloy - varies by source,0.3,289.59,289.59,289.59,289.59,no,206.85,206.85,206.85,206.85,no,290,290,290,290,no,71.8,72.4,72.1,72.1,no,26.4,27.2,26.8,26.8,no,71,72.4,71.7,71.7,no,2.66,2.66,2.66,2.66,no,88,88,88,88,no,49,49,49,49,no
Aluminum 6061-T6,Al,Al6061_T6,Al 6061-T6,,,alloy,brittle,N/A,N/A,N/A,0.9,1.93,1.41,1.4430683,0.736885,train,0.8,2.3,1.3,1.39,varies by source,alloy - varies by source,0.59,310,310,310,310,no,276,276,276,276,no,267,267,267,267,no,75.1,75.1,75.1,75.1,no,26,27.5,26.75,26.75,no,68.9,73.5,72.2,71.53,no,2.7,2.7,2.7,2.7,no,107,107,107,107,no,29,29,29,29,no
Aluminum 7075-T6,Al,Al7075_T6,Al 7075-T6,,,alloy,brittle,N/A,N/A,N/A,0.81,1.74,1.27,1.6384816,0.881076,test,1.3,1.84,1.6,1.58,varies by source,alloy - varies by source,0.17,572,572,572,572,no,503,503,503,503,no,494.48,494.48,494.48,494.48,no,70.15,70.29,70.22,70.22,yes,26.9,26.9,26.9,26.9,no,71.7,73.1,72.4,72.4,no,2.81,2.81,2.81,2.81,no,175,175,175,175,no,25,25,25,25,no
Al(0.1)CoCrFeNi,HEA,Al0.1_CoCrFeNi,$\mathrm{Al_{0.1}}$CoCrFeNi,,,alloy,brittle,N/A,N/A,N/A,0.75,1.61,1.18,2.938192,1.410927,train,3.26,4.04,3.69,3.67,varies by impact condition,alloy - varies by impact condition,0.27,531,531,531,531,no,199,199,199,199,no,1420,1420,1420,1420,no,172.43,172.43,172.43,172.43,yes,81.2,81.2,81.2,81.2,yes,210.55,210.55,210.55,210.55,yes,7.7,8.05,7.88,7.88,no,458,458,458,458,no,13.8,13.8,13.8,14,no
AlCoCrFeNi(2.1),Ni,AlCoCrFeNi2.1,AlCoCrFe$\mathrm{Ni_{2.1}}$,,,alloy,ductile,6.17,6.17,6.17,N/A,N/A,N/A,3.3980647,1.605842,train,3,3.65,3.35,3.36,varies by impact condition,alloy - varies by impact condition,0.24,1165,1165,1165,1165,no,750,750,750,750,no,517,517,517,517,no,168.97,168.97,168.97,168.97,yes,70.28,70.28,70.28,70.28,yes,185.16,185.16,185.16,185.16,yes,7.37,7.37,7.37,7.37,no,9,9,9,9,no,119,119,119,119,no
Gold,Au,Au,Au,fcc,Au - fcc,metal,ductile,1.32,1.22,1.41,N/A,N/A,N/A,2.2648943,1.702666,train,2.03,2.03,2.03,2.03,single point,metal - single point,0.09,137,137,137,137,no,29.4,39.2,34.3,34.3,no,205,205,205,205,no,167.75,170.64,169.19,169.19,yes,27.7,27.7,27.7,27.7,no,77.5,77.5,77.5,77.5,no,19.08,19.08,19.08,19.08,no,22.03,22.03,22.03,22.03,no,90,90,90,90,no
Beryllium,Be,Be,Be,hcp,Be - hcp,metal,brittle,N/A,N/A,N/A,0.49,1.05,0.77,1.0029115,1.431951,train,0.36,1.3,0.9,0.87,varies by source,metal - varies by source,0.31,370,370,370,370,no,240,800,240,426.67,no,175,665,270,370,no,104,124,114,114,no,126,150,133.5,135.75,no,275,315,295,295,no,1.84,1.88,1.85,1.85,no,170.29,170.29,170.29,170.29,no,5,20,11.45,12,no
Be S200F,Be,Be_S200F,Be S200F,,,alloy,brittle,N/A,N/A,N/A,0.51,1.11,0.81,0.8835971,1.433411,train,0.53,0.64,0.59,0.59,varies by impact condition,alloy - varies by impact condition,0.05,324,324,324,324,no,241,241,241,241,no,207,207,207,207,no,158.02,165.94,161.98,161.98,no,135,135,135,135,no,303.4,303.4,303.4,303.4,no,1.85,1.85,1.85,1.85,no,174.5,174.5,174.5,174.5,no,10.6,12.3,11.45,11,no
Cerium,Ce,Ce,Ce,fcc,Ce - fcc,metal,ductile,0.77,0.77,0.77,N/A,N/A,N/A,0.5907323,1.54288,test,0.23,0.48,0.4,0.36,varies by source,metal - varies by source,0.09,100,103,101.5,101.5,no,91,91.2,91.1,91.1,no,110,289,199.5,199.5,no,21.5,21.5,21.5,21.5,no,12,13.5,12.75,12.75,no,30,41.4,35.7,35.7,no,6.7,6.77,6.74,6.74,no,24,24,24,24,no,55,55,55,55,no
Cobalt,Co,Co,Co,hcp,Co - hcp,metal,ductile,3.61,3.61,3.61,N/A,N/A,N/A,2.0953184,1.028498,train,3.2,3.2,3.2,3.2,single point,metal - single point,0,130,1250,675,685,no,225,225,225,225,no,295,925,687,635.67,no,174,212,193,193,no,74,84,78.7,78.85,no,199,215,210,208.5,no,8.8,8.9,8.82,8.84,no,253,253,253,253,no,120,150,135,135,no
